experiment,model,method,n_forecasts,baseline_prediction_seconds,reconciliation_seconds,total_prediction_seconds,overhead_seconds,slowdown_vs_base,baseline_ms_per_forecast,reconciliation_ms_per_forecast,total_ms_per_forecast,failed,fit_seconds,calibration_prediction_seconds,end_to_end_seconds
M5,rolling_mean,wls,84,0.0436578550143167,2.037828460976016,2.0814863159903325,2.037828460976016,47.677246518587545,0.5197363692180564,24.259862630666856,24.77959899988491,0.0,,,
M5,rolling_mean,shr,84,0.0436578550143167,2.337161431030836,2.3808192860451527,2.337161431030836,54.53358359599687,0.5197363692180564,27.823350369414715,28.34308673863277,0.0,,,
LOBSTER bid/ask,rolling_mean,base,100,0.0569642049958929,0.0,0.0569642049958929,0.0,1.0,0.5696420499589294,0.0,0.5696420499589294,0.0,,,
LOBSTER bid/ask,rolling_mean,ols,100,0.0569642049958929,0.5206626289873384,0.5776268339832313,0.5206626289873384,10.14017195579009,0.5696420499589294,5.206626289873384,5.776268339832313,0.0,,,
LOBSTER bid/ask,rolling_mean,wls,100,0.0569642049958929,5.712041913007852,5.769006118003745,5.712041913007852,101.274232097502,0.5696420499589294,57.12041913007852,57.690061180037446,0.0,,,
LOBSTER bid/ask,rolling_mean,shr,100,0.0569642049958929,5.686384692962747,5.74334889795864,5.686384692962747,100.82382258073696,0.5696420499589294,56.86384692962747,57.4334889795864,0.0,,,
LOBSTER backtest,naive_state,none,200,0.0038844579830765,0.0,0.0038844579830765,0.0,1.0,0.0194222899153828,0.0,0.0194222899153828,,0.0,0.0052937129512429,0.0091781709343194
LOBSTER backtest,naive_state,ols,200,0.0038844579830765,0.2792502660304308,0.2831347240135073,0.2792502660304308,72.88911998714907,0.0194222899153828,1.396251330152154,1.4156736200675368,,0.0,0.0052937129512429,0.2884284369647503
LOBSTER backtest,naive_state,wls,200,0.0038844579830765,0.3821126710390672,0.3859971290221438,0.3821126710390672,99.36962394851956,0.0194222899153828,1.910563355195336,1.929985645110719,,0.0,0.0052937129512429,0.3912908419733867
LOBSTER backtest,naive_state,shr,200,0.0038844579830765,0.3832657070015557,0.3871501649846323,0.3832657070015557,99.6664571148228,0.0194222899153828,1.9163285350077783,1.9357508249231612,,0.0,0.0052937129512429,0.3924438779358752
LOBSTER backtest,ridge,none,200,0.0061797800008207,0.0,0.0061797800008207,0.0,1.0,0.0308989000041037,0.0,0.0308989000041037,,0.0087512409663759,0.0068593390169553,0.021790359984152
LOBSTER backtest,ridge,ols,200,0.0061797800008207,2.2939400550094438,2.300119835010264,2.2939400550094438,372.2009253897029,0.0308989000041037,11.469700275047217,11.50059917505132,,0.0087512409663759,0.0068593390169553,2.3157304149935958
LOBSTER backtest,ridge,wls,200,0.0061797800008207,10.684955217002424,10.691134997003246,10.684955217002424,1730.018705452835,0.0308989000041037,53.42477608501213,53.45567498501623,,0.0087512409663759,0.0068593390169553,10.706745576986576
LOBSTER backtest,ridge,shr,200,0.0061797800008207,14.440251557040028,14.446431337040847,14.440251557040028,2337.6934672629404,0.0308989000041037,72.20125778520014,72.23215668520425,,0.0087512409663759,0.0068593390169553,14.46204191702418
LOBSTER backtest,extra_trees,none,200,0.0148994710179977,0.0,0.0148994710179977,0.0,1.0,0.0744973550899885,0.0,0.0744973550899885,,0.5567392259836197,0.0174093900131993,0.5890480870148167
LOBSTER backtest,extra_trees,ols,200,0.0148994710179977,1.0626072799786923,1.0775067509966902,1.0626072799786923,72.31845678917885,0.0744973550899885,5.313036399893463,5.387533754983451,,0.5567392259836197,0.0174093900131993,1.6516553669935092
LOBSTER backtest,extra_trees,wls,200,0.0148994710179977,10.587415509973653,10.60231498099165,10.587415509973653,711.5900267992506,0.0744973550899885,52.93707754986826,53.01157490495825,,0.5567392259836197,0.0174093900131993,11.17646359698847
LOBSTER backtest,extra_trees,shr,200,0.0148994710179977,11.878750135016162,11.89364960603416,11.878750135016162,798.2598571229347,0.0744973550899885,59.39375067508081,59.4682480301708,,0.5567392259836197,0.0174093900131993,12.46779822203098
LOBSTER backtest,hist_gbr,none,200,0.0229679470066912,0.0,0.0229679470066912,0.0,1.0,0.1148397350334562,0.0,0.1148397350334562,,1.5442046379903331,0.0262151649803854,1.5933877499774098
LOBSTER backtest,hist_gbr,ols,200,0.0229679470066912,10.191949160012882,10.214917107019572,10.191949160012882,444.7466333862432,0.1148397350334562,50.95974580006441,51.07458553509787,,1.5442046379903331,0.0262151649803854,11.785336909990292
LOBSTER backtest,hist_gbr,wls,200,0.0229679470066912,11.80556136200903,11.82852930901572,11.80556136200903,515.0015935499032,0.1148397350334562,59.02780681004515,59.142646545078605,,1.5442046379903331,0.0262151649803854,13.39894911198644
