method,metric,time_index,improvement,nlcr_better
ols,rmse,20,0.008635876782168594,True
ols,rmse,21,0.0012349292289748348,True
ols,rmse,22,0.003880315457220007,True
ols,rmse,23,0.004084557558302393,True
ols,rmse,24,0.06333739323447762,True
ols,rmse,25,0.022891038606195124,True
ols,rmse,26,0.00018167434507887492,True
ols,rmse,27,0.0034915400263813012,True
ols,rmse,28,0.05900300372790923,True
ols,rmse,29,0.09088274946802599,True
ols,rmse,30,0.04728379809860073,True
ols,rmse,31,0.05874145846158996,True
ols,rmse,32,0.034120631146103975,True
ols,rmse,33,0.023449890075163182,True
ols,rmse,34,0.003003977137870706,True
ols,rmse,35,0.05730414561921293,True
ols,rmse,36,0.0009786477071500599,True
ols,rmse,37,0.010390057123813357,True
ols,rmse,38,0.005335980551256725,True
ols,rmse,39,0.08470122328333662,True
ols,rmse,40,2.2603407259680353e-05,True
ols,rmse,41,0.0023461880102253474,True
ols,rmse,42,0.018147557208530785,True
ols,rmse,43,0.015072438825541212,True
ols,rmse,44,0.022913621283944252,True
ols,rmse,45,0.009208298736192333,True
ols,rmse,46,0.01756341556372476,True
ols,rmse,47,0.007210546195157264,True
ols,rmse,48,0.00011566592333167591,True
ols,rmse,49,3.574078704104977e-07,True
ols,rmse,50,0.03320829663021119,True
ols,rmse,51,0.000753317711797763,True
ols,rmse,52,0.02732523858590996,True
ols,rmse,53,0.00023878687306577717,True
ols,rmse,54,0.010704719049343225,True
ols,rmse,55,0.038751506572081595,True
ols,rmse,56,0.02701638388189309,True
ols,rmse,57,0.016379303699167735,True
ols,rmse,58,0.006420630602185895,True
ols,rmse,59,0.025778870692195532,True
ols,rmse,60,0.016249747556419614,True
ols,rmse,61,0.0006742391290970318,True
ols,rmse,62,3.258483319257266e-05,True
ols,rmse,63,0.08906491859951693,True
ols,rmse,64,0.037813198367979695,True
ols,rmse,65,0.03138351411424978,True
ols,rmse,66,0.15430379819738427,True
ols,rmse,67,0.05327338343152732,True
ols,rmse,68,0.06802718059950763,True
ols,rmse,69,0.07686268965048626,True
ols,rmse,70,0.3444100434196544,True
ols,rmse,71,0.32370371602141823,True
ols,rmse,72,0.15596684066411726,True
ols,rmse,73,0.13577841733354035,True
ols,rmse,74,0.142753056835355,True
