beta,y2,curvature,n_mc,n_valid,n_fail,p_reconciled_better
-0.3,-0.28,0.9264584805288438,1000,1000,0,0.959
-0.3,0.28,0.9264584805288438,1000,1000,0,0.96
-0.3,-0.66,0.9691063395961947,1000,1000,0,0.962
-0.3,0.66,0.9691063395961947,1000,1000,0,0.96
-0.3,-0.29,0.9902613284849495,1000,1000,0,0.976
-0.3,0.29,0.9902613284849495,1000,1000,0,0.957
-0.3,-0.65,1.041167213552968,1000,1000,0,0.958
-0.3,0.65,1.041167213552968,1000,1000,0,0.96
-0.3,-0.3,1.0552398016959998,1000,1000,0,0.952
-0.3,0.3,1.0552398016959998,1000,1000,0,0.96
-0.3,-0.64,1.1150764031488263,1000,1000,0,0.95
-0.3,0.64,1.1150764031488263,1000,1000,0,0.95
-0.3,-0.31,1.1211336062658486,1000,1000,0,0.958
-0.3,0.31,1.1211336062658486,1000,1000,0,0.958
-0.3,-0.32,1.187642388106947,1000,1000,0,0.956
-0.3,0.32,1.187642388106947,1000,1000,0,0.966
-0.3,-0.63,1.1902523809602896,1000,1000,0,0.96
-0.3,0.63,1.1902523809602896,1000,1000,0,0.954
-0.3,-0.33,1.2544228837090776,1000,1000,0,0.977
-0.3,0.33,1.2544228837090776,1000,1000,0,0.972
-0.3,-0.62,1.266024345442561,1000,1000,0,0.953
-0.3,0.62,1.266024345442561,1000,1000,0,0.947
-0.3,-0.34,1.321086660623831,1000,1000,0,0.958
-0.3,0.34,1.321086660623831,1000,1000,0,0.964
-0.3,-0.61,1.3416400853735964,1000,1000,0,0.96
-0.3,0.61,1.3416400853735964,1000,1000,0,0.964
-0.3,-0.35,1.387198692069496,1000,1000,0,0.963
-0.3,0.35,1.387198692069496,1000,1000,0,0.947
-0.3,-0.6,1.4162781538589695,1000,1000,0,0.955
-0.3,0.6,1.4162781538589695,1000,1000,0,0.957
-0.3,-0.36,1.452277038594171,1000,1000,0,0.964
-0.3,0.36,1.452277038594171,1000,1000,0,0.957
-0.3,-0.59,1.489064288136726,1000,1000,0,0.959
-0.3,0.59,1.489064288136726,1000,1000,0,0.957
-0.3,-0.37,1.5157939294437768,1000,1000,0,0.965
-0.3,0.37,1.5157939294437768,1000,1000,0,0.972
-0.3,-0.58,1.5590917007145466,1000,1000,0,0.969
-0.3,0.58,1.5590917007145466,1000,1000,0,0.959
-0.3,-0.38,1.5771785422316904,1000,1000,0,0.959
-0.3,0.38,1.5771785422316904,1000,1000,0,0.959
-0.3,-0.57,1.6254445436521263,1000,1000,0,0.958
-0.3,0.57,1.6254445436521263,1000,1000,0,0.958
-0.3,-0.39,1.6358217662064853,1000,1000,0,0.969
-0.3,0.39,1.6358217662064853,1000,1000,0,0.957
-0.3,-0.56,1.6872235447152832,1000,1000,0,0.967
-0.3,0.56,1.6872235447152832,1000,1000,0,0.971
-0.3,-0.4,1.691083196275024,1000,1000,0,0.968
-0.3,0.4,1.691083196275024,1000,1000,0,0.965
-0.3,-0.41,1.7423005369644655,1000,1000,0,0.962
-0.3,0.41,1.7423005369644655,1000,1000,0,0.961
-0.3,-0.55,1.7435725677180296,1000,1000,0,0.967
-0.3,0.55,1.7435725677180296,1000,1000,0,0.965
-0.3,-0.42,1.7888014942155301,1000,1000,0,0.961
-0.3,0.42,1.7888014942155301,1000,1000,0,0.964
-0.3,-0.54,1.7937046927937612,1000,1000,0,0.959
-0.3,0.54,1.7937046927937612,1000,1000,0,0.957
-0.3,-0.43,1.8299180974041855,1000,1000,0,0.97
-0.3,0.43,1.8299180974041855,1000,1000,0,0.949
-0.3,-0.53,1.8369263703422312,1000,1000,0,0.96
-0.3,0.53,1.8369263703422312,1000,1000,0,0.95
-0.3,-0.44,1.8650032271278694,1000,1000,0,0.959
-0.3,0.44,1.8650032271278694,1000,1000,0,0.964
-0.3,-0.52,1.8726582866632224,1000,1000,0,0.961
-0.3,0.52,1.8726582866632224,1000,1000,0,0.959
-0.3,-0.45,1.8934489335981672,1000,1000,0,0.96
-0.3,0.45,1.8934489335981672,1000,1000,0,0.963
-0.3,-0.51,1.9004517857074674,1000,1000,0,0.962
-0.3,0.51,1.9004517857074674,1000,1000,0,0.961
-0.3,-0.46,1.9147059287382429,1000,1000,0,0.97
-0.3,0.46,1.9147059287382429,1000,1000,0,0.968
-0.3,-0.5,1.92,1000,1000,0,0.964
-0.3,0.5,1.92,1000,1000,0,0.962
-0.3,-0.47,1.9283034401854584,1000,1000,0,0.97
-0.3,0.47,1.9283034401854584,1000,1000,0,0.963
-0.3,-0.49,1.9311432215493631,1000,1000,0,0.963
-0.3,0.49,1.9311432215493631,1000,1000,0,0.958
-0.3,-0.48,1.9338684492749296,1000,1000,0,0.955
-0.3,0.48,1.9338684492749296,1000,1000,0,0.959
0.0,0.0,0.0,1000,1000,0,0.867
0.0,-1.5,0.0008040365613291915,1000,1000,0,0.998
0.0,1.5,0.0008040365613291915,1000,1000,0,0.997
0.0,-1.49,0.0008592739096300577,1000,1000,0,0.998
