rho,gamma,m,alpha,beta,n_true,n_valid,n_fail,p_reconciled_better
-0.8,0.5,0.0,-50.0,0.0,1000,1000,0,0.993
-0.8,0.5,0.0,-50.0,10.0,1000,1000,0,0.994
-0.8,0.5,0.0,-50.0,25.0,1000,1000,0,1.0
-0.8,0.5,0.0,-25.0,-25.0,1000,1000,0,0.999
-0.8,0.5,0.0,-25.0,-10.0,1000,1000,0,0.997
-0.8,0.5,0.0,-25.0,0.0,1000,1000,0,0.995
-0.8,0.5,0.0,-25.0,10.0,1000,1000,0,0.994
-0.8,0.5,0.0,-25.0,25.0,1000,1000,0,1.0
-0.8,0.5,0.0,0.0,-25.0,1000,1000,0,0.999
-0.8,0.5,0.0,0.0,-10.0,1000,1000,0,0.998
-0.8,0.5,0.0,0.0,0.0,1000,1000,0,0.997
-0.8,0.5,0.0,0.0,10.0,1000,1000,0,0.999
-0.8,0.5,0.0,0.0,25.0,1000,1000,0,1.0
-0.8,0.5,0.0,25.0,-25.0,1000,1000,0,0.999
-0.8,0.5,0.0,25.0,-10.0,1000,1000,0,0.996
-0.8,0.5,0.0,25.0,0.0,1000,1000,0,0.99
-0.8,0.5,0.0,25.0,10.0,1000,1000,0,0.995
-0.8,0.5,0.0,25.0,25.0,1000,1000,0,1.0
-0.8,0.5,0.0,50.0,-25.0,1000,1000,0,0.999
-0.8,0.5,0.0,50.0,-10.0,1000,1000,0,0.991
-0.8,0.5,0.0,50.0,0.0,1000,1000,0,0.989
-0.8,0.5,0.0,50.0,10.0,1000,1000,0,0.994
-0.8,0.5,0.0,50.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.0,-50.0,-25.0,1000,1000,0,0.998
-0.4,0.5,0.0,-50.0,-10.0,1000,1000,0,0.994
-0.4,0.5,0.0,-50.0,0.0,1000,1000,0,0.983
-0.4,0.5,0.0,-50.0,10.0,1000,1000,0,0.989
-0.4,0.5,0.0,-50.0,25.0,1000,1000,0,1.0
-0.4,0.5,0.0,-25.0,-25.0,1000,1000,0,1.0
